CustomerKey,TotalSpent,SpendingSegment
12989,52689.5712,High Spender
15657,52622.642,High Spender
15661,52596.442,High Spender
12328,52590.6448,High Spender
12214,52586.836,High Spender
11175,52295.2768,High Spender
11171,52276.7056,High Spender
15440,52192.1112,High Spender
14160,51817.9504,High Spender
15923,51054.3664,High Spender
11616,50839.218,High Spender
18139,50094.9495,High Spender
14220,49711.7358,High Spender
13112,49699.7892,High Spender
13108,49652.6238,High Spender
13517,49415.4063,High Spender
15623,49302.7472,High Spender
14218,49256.3376,High Spender
12742,49216.692,High Spender
16263,49206.0674,High Spender
16196,49173.2472,High Spender
15116,49129.549,High Spender
17198,49068.8583,High Spender
16207,48973.3279,High Spender
15357,48972.616,High Spender
16594,48905.1066,High Spender
18166,48849.1374,High Spender
15676,48839.3766,High Spender
16831,48821.2074,High Spender
15675,48755.9268,High Spender
16261,48730.9508,High Spender
14207,48718.0932,High Spender
16829,48634.4362,High Spender
14426,48602.2692,High Spender
15354,48543.9996,High Spender
14425,48524.2428,High Spender
11402,48416.818,High Spender
15080,48368.2428,High Spender
11240,48142.32,High Spender
11751,47798.6976,High Spender
11897,47726.6196,High Spender
11460,47719.2264,High Spender
11964,47701.4664,High Spender
11485,47693.5466,High Spender
11997,47689.7456,High Spender
11969,47654.5776,High Spender
11472,47644.8,High Spender
11453,47610.0828,High Spender
11898,47604.6228,High Spender
12002,47581.9776,High Spender
11896,47581.7976,High Spender
11750,47496.6492,High Spender
11496,47489.8473,High Spender
11967,47484.4848,High Spender
15093,47447.7437,High Spender
15928,47443.5248,High Spender
15624,47415.5241,High Spender
15084,47393.4447,High Spender
11764,47380.5744,High Spender
11991,47352.5028,High Spender
16205,47338.3449,High Spender
11388,47327.7672,High Spender
17811,47301.5536,High Spender
11917,47296.3092,High Spender
15566,47244.528,High Spender
11976,47230.1796,High Spender
11912,47161.9176,High Spender
15114,47153.5449,High Spender
11756,47132.4396,High Spender
11988,47132.4396,High Spender
16580,47108.3076,High Spender
17103,47078.0177,High Spender
15627,47074.5429,High Spender
11998,47064.4174,High Spender
13600,47063.995,High Spender
15933,47062.4343,High Spender
15929,47035.0335,High Spender
19032,47004.7837,High Spender
18126,46993.2743,High Spender
15101,46974.2049,High Spender
17181,46916.3443,High Spender
15702,46855.0649,High Spender
17220,46833.3649,High Spender
12988,46703.0046,High Spender
13629,46673.2357,High Spender
16595,46632.8016,High Spender
13122,46590.7134,High Spender
13075,46573.0174,High Spender
14941,46521.5254,High Spender
12079,46460.5328,High Spender
12995,46437.2776,High Spender
12994,46432.204,High Spender
13251,46424.8246,High Spender
13960,46413.4237,High Spender
13622,46406.6246,High Spender
12355,46406.4846,High Spender
13011,46404.2348,High Spender
12700,46404.0332,High Spender
12658,46401.4208,High Spender
12341,46391.1882,High Spender
13139,46357.7646,High Spender
12118,46346.764,High Spender
15094,46313.2124,High Spender
12342,46292.204,High Spender
13620,46261.4642,High Spender
11854,46239.2992,High Spender
12705,46229.344,High Spender
11575,46208.113,High Spender
13638,46199.0242,High Spender
13113,46177.4544,High Spender
13126,46154.0646,High Spender
12644,46142.9234,High Spender
13651,46133.2928,High Spender
13001,46112.6148,High Spender
13133,46100.9542,High Spender
13404,46075.274,High Spender
13649,46061.5148,High Spender
12667,46056.6036,High Spender
11604,45953.7834,High Spender
13115,45823.1242,High Spender
13258,45755.1864,High Spender
14049,45672.0102,High Spender
14846,45576.8572,High Spender
11191,45558.086,High Spender
14424,45536.1424,High Spender
12286,45455.0958,High Spender
14847,45443.8572,High Spender
11252,45368.736,High Spender
14984,45324.7872,High Spender
15047,45149.7172,High Spender
15077,45109.5568,High Spender
12526,45022.4667,High Spender
14310,44880.1902,High Spender
13968,44790.3936,High Spender
14163,44414.3574,High Spender
17983,44400.54,High Spender
18140,44237.9768,High Spender
15921,44130.5466,High Spender
14219,44071.5008,High Spender
12754,44052.8774,High Spender
12805,44013.4072,High Spender
13111,43975.376,High Spender
14162,43941.6908,High Spender
14235,43937.9824,High Spender
13010,43908.1168,High Spender
12620,43870.4462,High Spender
14064,43831.1568,High Spender
13967,43829.7496,High Spender
14161,43824.0754,High Spender
12608,43818.1424,High Spender
13556,43803.3162,High Spender
12607,43791.0466,High Spender
12621,43756.5968,High Spender
14713,43664.9241,High Spender
14215,43644.8848,High Spender
12599,43543.0768,High Spender
12277,43521.8208,High Spender
11403,43439.7384,High Spender
12289,43290.1424,High Spender
11944,43247.07,High Spender
12461,43236.4284,High Spender
13105,42988.8512,High Spender
11479,42764.7402,High Spender
11215,42747.184,High Spender
15710,42655.5052,High Spender
16589,42576.3828,High Spender
15632,42454.092,High Spender
15662,42312.24,High Spender
15085,42021.213,High Spender
15653,41967.9408,High Spender
26057,41875.2145,High Spender
14427,41863.1121,High Spender
15685,41836.5396,High Spender
16822,41684.5848,High Spender
17781,41682.588,High Spender
16830,41454.3492,High Spender
14714,41272.4184,High Spender
13257,41080.2112,High Spender
11325,41016.9172,High Spender
11070,40924.5138,High Spender
12198,40837.2475,High Spender
14300,40694.5424,High Spender
17833,40598.7274,High Spender
15095,40547.6178,High Spender
14428,40522.041,High Spender
17192,40505.9526,High Spender
11796,40490.4185,High Spender
12005,40455.3744,High Spender
14181,40430.19,High Spender
17779,40419.019,High Spender
15100,40415.8926,High Spender
11493,40353.2544,High Spender
15118,40318.583,High Spender
11387,40315.3176,High Spender
18135,40283.7726,High Spender
13625,40273.332,High Spender
16824,40235.7882,High Spender
15927,40127.7294,High Spender
12404,40102.1632,High Spender
14672,40089.492,High Spender
16309,40078.0842,High Spender
18160,40064.0694,High Spender
14326,40048.5296,High Spender
18168,40031.5326,High Spender
16448,40021.4598,High Spender
15120,40010.816,High Spender
12688,39976.9752,High Spender
11929,39862.6184,High Spender
13091,39849.984,High Spender
11754,39798.8405,High Spender
14038,39728.7624,High Spender
11452,39727.233,High Spender
11505,39726.6156,High Spender
12637,39703.092,High Spender
12347,39691.2384,High Spender
13090,39646.8468,High Spender
13117,39642.7068,High Spender
13078,39633.2004,High Spender
13953,39630.3456,High Spender
11482,39610.519,High Spender
12645,39600.8004,High Spender
11994,39595.569,High Spender
13119,39595.0056,High Spender
11612,39559.1184,High Spender
11244,39544.428,High Spender
12210,39543.0804,High Spender
11455,39508.79,High Spender
12630,39507.3468,High Spender
12316,39504.8856,High Spender
11895,39495.619,High Spender
11910,39492.198,High Spender
11765,39485.691,High Spender
11989,39468.191,High Spender
11992,39463.74,High Spender
12698,39462.7668,High Spender
11610,39459.0468,High Spender
11907,39458.641,High Spender
11459,39457.069,High Spender
12315,39439.092,High Spender
13254,39435.1488,High Spender
12699,39433.2384,High Spender
11892,39427.198,High Spender
11893,39417.248,High Spender
13000,39405.2268,High Spender
11239,39403.708,High Spender
13253,39399.0468,High Spender
12354,39397.2984,High Spender
12671,39397.152,High Spender
13643,39395.1552,High Spender
13089,39387.2268,High Spender
13077,39373.8756,High Spender
13633,39365.3436,High Spender
14039,39357.2688,High Spender
11462,39350.248,High Spender
12350,39346.4352,High Spender
16566,39310.0547,High Spender
11488,39250.29,High Spender
13079,39235.1784,High Spender
13971,39217.3584,High Spender
17986,39214.5642,High Spender
12640,39207.0288,High Spender
12340,39177.0888,High Spender
16393,39161.6652,High Spender
15687,39018.6948,High Spender
18005,39008.3043,High Spender
11090,38986.422,High Spender
14950,38969.9976,High Spender
14928,38929.668,High Spender
14991,38921.5932,High Spender
11243,38895.9164,High Spender
14214,38891.3448,High Spender
16426,38813.2437,High Spender
11247,38807.3829,High Spender
11257,38752.0464,High Spender
12384,38716.432,High Spender
15048,38703.9228,High Spender
17964,38684.8231,High Spender
12462,38597.5496,High Spender
14947,38555.8596,High Spender
14316,38512.628,High Spender
15058,38501.7996,High Spender
13106,38345.5744,High Spender
12264,38303.524,High Spender
13109,38287.4842,High Spender
14236,38275.874,High Spender
12271,38258.4244,High Spender
14230,38159.1546,High Spender
11421,38136.5928,High Spender
12486,38108.6482,High Spender
14058,38090.864,High Spender
12473,38084.3344,High Spender
14211,38002.734,High Spender
12623,37944.1048,High Spender
14238,37923.2434,High Spender
12609,37904.8348,High Spender
12991,37874.3134,High Spender
12560,37864.9936,High Spender
13558,37773.6576,High Spender
15846,37634.8992,High Spender
12750,37564.9092,High Spender
12510,37490.2692,High Spender
20051,37415.214,High Spender
14598,37077.504,High Spender
15304,37067.1968,High Spender
11979,36891.1168,High Spender
12177,36868.5608,High Spender
15391,36808.5104,High Spender
16000,36789.4592,High Spender
11343,36760.9448,High Spender
11099,36760.5456,High Spender
12986,36686.0192,High Spender
11450,36580.5904,High Spender
15916,36572.7856,High Spender
13591,36525.504,High Spender
15630,36464.5988,High Spender
15660,36428.35,High Spender
11003,36263.8928,High Spender
15931,35949.5654,High Spender
17651,35854.5609,High Spender
11250,35622.228,High Spender
14667,35447.1957,High Spender
20452,35361.4002,High Spender
20609,35294.9922,High Spender
19560,35286.9174,High Spender
20621,35286.9174,High Spender
26041,35243.52,High Spender
19950,35235.975,High Spender
18928,35219.2722,High Spender
19595,35211.1974,High Spender
14323,35186.9644,High Spender
15133,35152.5538,High Spender
18710,35152.3506,High Spender
19794,35152.3506,High Spender
26066,35114.2542,High Spender
18709,35068.215,High Spender
11615,35028.6244,High Spender
12463,35027.328,High Spender
11323,35015.5692,High Spender
14012,35000.014,High Spender
14286,34998.6546,High Spender
17984,34991.448,High Spender
13974,34968.374,High Spender
20242,34925.355,High Spender
14264,34872.5538,High Spender
17214,34859.048,High Spender
14668,34857.9938,High Spender
15127,34830.6546,High Spender
11528,34825.4634,High Spender
12050,34812.7776,High Spender
15130,34767.7946,High Spender
15932,34743.983,High Spender
13973,34732.0246,High Spender
16585,34725.762,High Spender
17985,34686.7662,High Spender
11282,34678.8492,High Spender
12281,34661.6746,High Spender
16404,34661.208,High Spender
12103,34660.5348,High Spender
16204,34643.998,High Spender
11142,34634.7624,High Spender
12755,34632.7776,High Spender
11539,34622.52,High Spender
12018,34616.9544,High Spender
16567,34580.491,High Spender
12041,34524.3582,High Spender
12084,34498.1814,High Spender
11797,34488.5916,High Spender
12142,34469.5344,High Spender
12094,34459.2576,High Spender
14325,34432.0459,High Spender
14308,34417.5146,High Spender
11529,34393.5228,High Spender
12072,34369.3092,High Spender
14279,34340.5748,High Spender
14975,34323.5532,High Spender
15620,34307.2578,High Spender
11535,34261.6692,High Spender
13564,34205.7744,High Spender
12863,34195.2624,High Spender
12485,34109.2692,High Spender
14976,33960.2105,High Spender
14773,33841.8745,High Spender
11380,33737.3892,High Spender
11942,33701.9788,High Spender
12807,33697.1278,High Spender
11502,33647.8368,High Spender
16551,33569.522,High Spender
12390,33529.4946,High Spender
17182,33516.8245,High Spender
16199,33468.4035,High Spender
16307,33461.6745,High Spender
17093,33461.6745,High Spender
12299,33367.1534,High Spender
15693,33335.0455,High Spender
14030,33297.889,High Spender
11943,33261.0488,High Spender
18130,33197.8998,High Spender
12397,33194.644,High Spender
12738,33185.3242,High Spender
12686,33079.446,High Spender
13644,33079.446,High Spender
12339,33077.717,High Spender
12346,33072.717,High Spender
12676,33067.839,High Spender
13076,33067.839,High Spender
13958,33060.239,High Spender
11631,33045.5895,High Spender
12683,33032.639,High Spender
11480,33028.9946,High Spender
13114,33027.589,High Spender
14234,33026.2176,High Spender
18134,33010.9602,High Spender
13160,32999.396,High Spender
13632,32990.938,High Spender
12999,32972.839,High Spender
12668,32967.839,High Spender
13970,32966.11,High Spender
13964,32944.246,High Spender
13636,32927.396,High Spender
14020,32927.396,High Spender
14033,32926.641,High Spender
12356,32917.689,High Spender
14045,32901.082,High Spender
13411,32892.667,High Spender
12693,32872.889,High Spender
13129,32866.16,High Spender
13252,32859.381,High Spender
13128,32856.232,High Spender
12681,32829.181,High Spender
12675,32820.996,High Spender
12670,32806.082,High Spender
12694,32799.353,High Spender
13130,32787.839,High Spender
11568,32774.346,High Spender
12669,32765.782,High Spender
13647,32747.839,High Spender
14949,32728.419,High Spender
12358,32720.789,High Spender
12634,32714.06,High Spender
12859,32703.6372,High Spender
12673,32697.689,High Spender
13135,32679.453,High Spender
13081,32676.232,High Spender
12353,32672.739,High Spender
13650,32672.739,High Spender
12349,32672.724,High Spender
12998,32669.892,High Spender
13118,32667.8436,High Spender
11603,32662.739,High Spender
11259,32616.812,High Spender
11109,32615.7762,High Spender
13123,32602.453,High Spender
13648,32602.453,High Spender
11000,32594.7272,High Spender
13049,32593.7868,High Spender
12460,32578.4874,High Spender
13107,32553.8436,High Spender
12612,32523.9636,High Spender
14226,32483.952,High Spender
14262,32449.2204,High Spender
11443,32443.2668,High Spender
12559,32363.892,High Spender
15924,32361.0852,High Spender
15175,32340.1162,High Spender
14051,32287.8468,High Spender
14189,32269.6152,High Spender
11341,32242.3556,High Spender
12283,32213.634,High Spender
14929,32203.241,High Spender
11103,32194.4308,High Spender
11224,32191.762,High Spender
14281,32176.4674,High Spender
11056,32176.4233,High Spender
15062,32171.64,High Spender
15490,32147.7296,High Spender
11007,32135.1968,High Spender
11835,32099.2168,High Spender
14597,32078.5766,High Spender
13581,32066.3672,High Spender
11203,32065.648,High Spender
14937,32034.991,High Spender
11117,32001.886,High Spender
13602,31955.2548,High Spender
15201,31943.9372,High Spender
13583,31922.7454,High Spender
11055,31899.5866,High Spender
11337,31866.9372,High Spender
11111,31813.0568,High Spender
11465,31637.8784,High Spender
13579,31583.4876,High Spender
17834,31577.176,High Spender
21969,31560.3932,High Spender
11768,31556.4952,High Spender
11398,31467.2096,High Spender
12004,31456.4952,High Spender
11903,31448.5928,High Spender
21225,31430.5943,High Spender
11454,31367.2096,High Spender
11461,31367.2096,High Spender
11238,31270.6464,High Spender
15652,31170.36,High Spender
19196,30915.6652,High Spender
19197,30826.2031,High Spender
13866,30820.1929,High Spender
11520,30684.216,High Spender
14716,30373.9092,High Spender
11211,30334.864,High Spender
15700,30001.4745,High Spender
15920,29994.6955,High Spender
22765,29974.4,High Spender
12619,29914.9068,High Spender
11506,29896.8832,High Spender
12745,29880.4908,High Spender
15688,29876.4245,High Spender
15122,29868.6372,High Spender
14666,29859.7956,High Spender
11346,29856.3251,High Spender
19614,29797.0625,High Spender
15121,29784.8952,High Spender
14681,29770.7868,High Spender
14055,29746.5624,High Spender
11078,29738.076,High Spender
15129,29674.9068,High Spender
14275,29630.4384,High Spender
12492,29626.8288,High Spender
12381,29534.6676,High Spender
18746,29472.8145,High Spender
12622,29460.6972,High Spender
20622,29430.5045,High Spender
26114,29335.05,High Spender
19970,29256.4625,High Spender
18738,29233.8625,High Spender
19782,29233.8625,High Spender
19096,29213.9125,High Spender
19979,29213.9125,High Spender
26091,29210.05,High Spender
18747,29208.9125,High Spender
19790,29208.9125,High Spender
20245,29179.299,High Spender
20444,29179.299,High Spender
19609,29177.0125,High Spender
19613,29177.0125,High Spender
20239,29177.0125,High Spender
20616,29177.0125,High Spender
19089,29170.2835,High Spender
20623,29170.2835,High Spender
18908,29168.9625,High Spender
19084,29157.0625,High Spender
19602,29157.0625,High Spender
20228,29150.3335,High Spender
24284,29145.36,High Spender
20226,29136.9125,High Spender
14066,29107.5056,High Spender
26107,29094.45,High Spender
11295,29073.348,High Spender
20448,29068.6255,High Spender
11934,29061.806,High Spender
18725,29052.0835,High Spender
19795,29050.3545,High Spender
19978,29044.9125,High Spender
22995,29036.4125,High Spender
16310,29034.412,High Spender
19977,29025.4045,High Spender
20627,29025.4045,High Spender
18706,29024.9625,High Spender
18931,29024.9625,High Spender
19568,29024.9625,High Spender
19956,29024.9625,High Spender
20220,29024.9625,High Spender
20612,29024.9625,High Spender
20615,29024.9625,High Spender
20629,29024.9625,High Spender
20219,28980.4545,High Spender
20620,28980.4545,High Spender
19439,28966.0651,High Spender
19577,28961.8625,High Spender
11707,28873.6345,High Spender
13511,28850.1765,High Spender
12784,28843.098,High Spender
12292,28834.4784,High Spender
12418,28832.4585,High Spender
12437,28824.64,High Spender
12141,28798.4845,High Spender
11270,28794.812,High Spender
19476,28782.7946,High Spender
11307,28778.048,High Spender
11401,28777.4292,High Spender
12779,28771.9775,High Spender
12789,28771.9275,High Spender
12152,28751.4695,High Spender
12886,28736.369,High Spender
19438,28720.734,High Spender
11939,28715.748,High Spender
12026,28715.748,High Spender
14861,28715.748,High Spender
11540,28711.091,High Spender
11818,28686.8775,High Spender
11286,28683.4195,High Spender
12208,28683.4195,High Spender
12053,28673.248,High Spender
11292,28666.291,High Spender
11947,28655.6052,High Spender
11271,28648.298,High Spender
11810,28648.298,High Spender
11780,28641.569,High Spender
12071,28641.569,High Spender
13536,28641.569,High Spender
11688,28631.8405,High Spender
11925,28623.248,High Spender
11541,28616.619,High Spender
11302,28611.141,High Spender
12804,28591.419,High Spender
11267,28586.541,High Spender
11289,28568.941,High Spender
11745,28566.469,High Spender
12707,28566.469,High Spender
12885,28561.641,High Spender
12774,28561.591,High Spender
12108,28552.848,High Spender
12121,28552.848,High Spender
11484,28536.732,High Spender
11216,28536.691,High Spender
11326,28536.691,High Spender
11666,28536.691,High Spender
11872,28536.691,High Spender
12769,28536.691,High Spender
11297,28529.962,High Spender
11623,28529.962,High Spender
11663,28529.962,High Spender
11664,28529.962,High Spender
11815,28529.962,High Spender
12169,28529.962,High Spender
12153,28526.9775,High Spender
12780,28521.198,High Spender
22201,28518.7602,High Spender
12819,28516.519,High Spender
12770,28514.398,High Spender
11298,28509.64,High Spender
11705,28507.698,High Spender
11227,28506.441,High Spender
12011,28504.74,High Spender
11266,28484.69,High Spender
13537,28481.491,High Spender
11281,28477.748,High Spender
11799,28477.748,High Spender
13504,28461.591,High Spender
11481,28460.7468,High Spender
15088,28455.841,High Spender
11837,28454.862,High Spender
11873,28454.862,High Spender
12618,28454.862,High Spender
26016,28439.3172,High Spender
11683,28423.033,High Spender
11777,28421.148,High Spender
12904,28421.148,High Spender
21569,28409.7522,High Spender
16313,28385.6388,High Spender
11327,28384.641,High Spender
11516,28384.641,High Spender
11536,28384.641,High Spender
12830,28384.641,High Spender
12448,28373.191,High Spender
12749,28371.141,High Spender
11742,28359.691,High Spender
12915,28341.191,High Spender
19453,28316.9936,High Spender
24597,28299.5363,High Spender
11924,28298.183,High Spender
12190,28273.141,High Spender
11001,28212.122,High Spender
11212,28123.7099,High Spender
15905,28088.5176,High Spender
13728,28046.82,High Spender
11101,28044.5634,High Spender
13406,27957.1376,High Spender
11019,27895.5582,High Spender
13314,27812.4486,High Spender
18133,27769.3855,High Spender
17976,27747.718,High Spender
13019,27742.0776,High Spender
13898,27734.0028,High Spender
17209,27729.9352,High Spender
27250,27723.5628,High Spender
13274,27709.0116,High Spender
11147,27691.08,High Spender
16392,27689.0605,High Spender
15889,27688.6344,High Spender
15625,27683.2784,High Spender
13299,27640.1976,High Spender
20034,27638.562,High Spender
19049,27632.793,High Spender
11446,27616.2036,High Spender
13894,27608.1492,High Spender
16598,27577.9928,High Spender
14478,27576.3828,High Spender
11338,27556.798,High Spender
26299,27532.6376,High Spender
11100,27513.2148,High Spender
12193,27506.7576,High Spender
27459,27497.0382,High Spender
11080,27493.0866,High Spender
11072,27488.3976,High Spender
11093,27436.3944,High Spender
13584,27410.4996,High Spender
18019,27402.3035,High Spender
15395,27382.5144,High Spender
14459,27374.3976,High Spender
13345,27349.2264,High Spender
13977,27347.4492,High Spender
11095,27304.5744,High Spender
13576,27251.2116,High Spender
14436,27246.4428,High Spender
17648,27233.3593,High Spender
13660,27210.5292,High Spender
11448,27206.4396,High Spender
13794,27193.4928,High Spender
13909,27190.5744,High Spender
12615,27176.467,High Spender
11739,27170.5776,High Spender
15187,27154.1292,High Spender
11449,27147.768,High Spender
14063,27138.396,High Spender
11253,27135.78,High Spender
12873,27131.617,High Spender
13007,27126.739,High Spender
11052,27114.4344,High Spender
14605,27100.5144,High Spender
11344,27076.8264,High Spender
12394,27059.982,High Spender
14046,27046.689,High Spender
13343,27045.8292,High Spender
14050,27043.109,High Spender
14062,27041.689,High Spender
13957,27038.231,High Spender
13050,27026.789,High Spender
11984,27026.0544,High Spender
14071,27016.639,High Spender
11008,27016.1892,High Spender
14216,27013.281,High Spender
14263,27010.182,High Spender
13134,27008.403,High Spender
22904,27005.0952,High Spender
14047,26997.746,High Spender
18739,26983.65,High Spender
13328,26982.4692,High Spender
15567,26975.3892,High Spender
12874,26974.689,High Spender
19592,26964.134,High Spender
12284,26938.281,High Spender
14210,26938.246,High Spender
13551,26930.082,High Spender
22197,26893.4586,High Spender
12459,26867.96,High Spender
14224,26867.96,High Spender
23486,26854.321,High Spender
20241,26851.0,High Spender
11468,26837.3076,High Spender
23378,26795.95,High Spender
14225,26790.132,High Spender
20284,26749.271,High Spender
21570,26740.05,High Spender
16559,26699.9004,High Spender
16286,26688.1684,High Spender
12380,26674.574,High Spender
17191,26598.8828,High Spender
11032,26590.842,High Spender
16297,26574.8828,High Spender
22202,26558.85,High Spender
24664,26529.18,High Spender
18158,26528.0764,High Spender
13319,26517.4578,High Spender
29279,26467.2852,High Spender
29167,26454.36,High Spender
18626,26359.875,High Spender
19311,26342.0478,High Spender
12674,26323.5968,High Spender
12990,26323.5968,High Spender
13431,26315.2926,High Spender
13468,26307.9816,High Spender
12318,26238.3112,High Spender
12687,26238.3112,High Spender
12996,26238.3112,High Spender
13525,26238.2298,High Spender
13348,26236.7094,High Spender
17824,26232.96,High Spender
13288,26223.2178,High Spender
21980,26195.28,High Spender
13353,26167.083,High Spender
13064,26152.9326,High Spender
12677,26152.928,High Spender
13400,26097.4842,High Spender
13006,26090.2712,High Spender
13618,26063.6424,High Spender
12987,26054.3112,High Spender
